ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827189|dip:DIP-191297E|imex:IM-21310-20	intact-miscore:0.83
uniprotkb:Q8TAM1	uniprotkb:Q9NPJ1	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827219|dip:DIP-191292E|imex:IM-21310-21	intact-miscore:0.56
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827266|dip:DIP-191297E|imex:IM-21310-23	intact-miscore:0.83
uniprotkb:Q9NPJ1	uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hulleman JD. et al.(2015)	intact:EBI-21404059|pubmed:26900326|imex:IM-27022	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-21404081|imex:IM-27022-1	intact-miscore:0.83
uniprotkb:Q9NPJ1	uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hulleman JD. et al.(2015)	intact:EBI-21404059|pubmed:26900326|imex:IM-27022	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-21404108|imex:IM-27022-3	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)|IntAct:MKKS(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-21894918|imex:IM-25778-6979	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-54795348	intact-miscore:0.83
uniprotkb:Q9NPJ1	uniprotkb:Q8TAM1	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Zhang Q. et al.(2012)	intact:EBI-6127424|pubmed:22500027|imex:IM-17327	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6128004|imex:IM-17327-18	intact-miscore:0.56
uniprotkb:Q9NPJ1	uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Zhang Q. et al.(2012)	intact:EBI-6127424|pubmed:22500027|imex:IM-17327	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6128347|imex:IM-17327-34	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Zhang Q. et al.(2012)	intact:EBI-6127424|pubmed:22500027|imex:IM-17327	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6128394|imex:IM-17327-36	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Zhang Q. et al.(2012)	intact:EBI-6127424|pubmed:22500027|imex:IM-17327	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6128421|imex:IM-17327-37	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Zhang Q. et al.(2012)	intact:EBI-6127424|pubmed:22500027|imex:IM-17327	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6128507|imex:IM-17327-39	intact-miscore:0.83
ensembl:ENST00000314218	rnacentral:URS00004E57E7_9606	intact:EBI-54369074	intact:"INTACT:URS00004E57E7_9606"|mirbase:MIMAT0000418|intact:EBI-26359261	psi-mi:mrna_bbs12(display_short)|psi-mi:BBS12-201(display_long)|uniprotkb:BBS12(gene name)	psi-mi:hsa-mir-23-3p(display_short)|psi-mi:"Homo sapiens (human) hsa-miR-23b-3p"(display_long)	psi-mi:"MI:2195"(clash)	Helwak A. et al.(2013)	intact:EBI-54261638|doi:10.1016/j.cell.2013.03.043|pubmed:23622248|imex:IM-30030	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-54369083	intact-miscore:0.4
uniprotkb:Q6ZW61	uniprotkb:P30153	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:Q13773|uniprotkb:Q6ICQ3|uniprotkb:Q96DH3|ensembl:ENSP00000324804.6|intact:EBI-302388|uniprotkb:P30153	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:2aaa_human(display_short)|psi-mi:Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform(display_long)|uniprotkb:PPP2R1A(gene name)|uniprotkb:Medium tumor antigen-associated 61 kDa protein(gene name synonym)|uniprotkb:PP2A subunit A isoform R1-alpha(gene name synonym)|uniprotkb:PP2A subunit A isoform PR65-alpha(gene name synonym)|IntAct:PPP2R1A(author assigned name)	psi-mi:"MI:2222"(inference by socio-affinity scoring)	Boldt K. et al.(2016)	intact:EBI-11896669|pubmed:unassigned1312	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11907243	intact-miscore:0.27|author-based confidence:"Socio-affinity score: 3.20374"
uniprotkb:Q6ZW61	uniprotkb:A2A3K4	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:Q8IWM1|uniprotkb:Q8N1X4|uniprotkb:Q5T3M4|uniprotkb:Q8N9F5|uniprotkb:Q6NXE8|ensembl:ENSP00000364509.3|ensembl:ENSP00000497158.1|intact:EBI-11603375|uniprotkb:A2A3K4	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:ptpc1_human(display_short)|psi-mi:Protein tyrosine phosphatase domain-containing protein 1(display_long)|uniprotkb:PTP9Q22(gene name synonym)|uniprotkb:PTPDC1(gene name)|IntAct:PTPDC1(author assigned name)	psi-mi:"MI:2222"(inference by socio-affinity scoring)	Boldt K. et al.(2016)	intact:EBI-11896669|pubmed:unassigned1312	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11898744	intact-miscore:0.51|author-based confidence:"Socio-affinity score: 5.42145"
uniprotkb:P61962	uniprotkb:Q6ZW61	uniprotkb:O15491|uniprotkb:Q9DAE4|ensembl:ENSP00000402312.2|ensembl:ENSP00000483236.1|ensembl:ENSP00000508930.1|ensembl:ENSP00000509006.1|uniprotkb:D3DU14|uniprotkb:B4E039|intact:EBI-359808|uniprotkb:P61962	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:dcaf7_human(display_short)|psi-mi:DDB1- and CUL4-associated factor 7(display_long)|uniprotkb:HAN11(gene name synonym)|uniprotkb:WD repeat-containing protein An11 homolog(gene name synonym)|uniprotkb:WDR68(gene name synonym)|uniprotkb:WD repeat-containing protein 68(gene name synonym)|uniprotkb:DCAF7(gene name)|IntAct:DCAF7(author assigned name)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:"MI:2222"(inference by socio-affinity scoring)	Boldt K. et al.(2016)	intact:EBI-11896669|pubmed:unassigned1312	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11919741	intact-miscore:0.27|author-based confidence:"Socio-affinity score: 3.67765"
uniprotkb:Q96AC1	uniprotkb:Q6ZW61	uniprotkb:Q14840|uniprotkb:Q86TY7|ensembl:ENSP00000340391.3|ensembl:ENSP00000378993.2|uniprotkb:B5TJY2|intact:EBI-21355423|intact:EBI-4399465|uniprotkb:Q96AC1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:ferm2_human(display_short)|psi-mi:Fermitin family homolog 2(display_long)|uniprotkb:Fermt2(gene name)|uniprotkb:Pleckstrin homology domain-containing family C member 1(gene name synonym)|uniprotkb:Mitogen-inducible gene 2 protein(gene name synonym)|uniprotkb:Kindlin-2(gene name synonym)|uniprotkb:PLEKHC1(gene name synonym)|uniprotkb:MIG2(gene name synonym)|uniprotkb:KIND2(gene name synonym)|IntAct:FERMT2(author assigned name)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:"MI:2222"(inference by socio-affinity scoring)	Boldt K. et al.(2016)	intact:EBI-11896669|pubmed:unassigned1312	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-11919750	intact-miscore:0.53|author-based confidence:"Socio-affinity score: 5.9803"
uniprotkb:A2A3K4	uniprotkb:Q6ZW61	uniprotkb:Q8IWM1|uniprotkb:Q8N1X4|uniprotkb:Q5T3M4|uniprotkb:Q8N9F5|uniprotkb:Q6NXE8|ensembl:ENSP00000364509.3|ensembl:ENSP00000497158.1|intact:EBI-11603375|uniprotkb:A2A3K4	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:ptpc1_human(display_short)|psi-mi:Protein tyrosine phosphatase domain-containing protein 1(display_long)|uniprotkb:PTP9Q22(gene name synonym)|uniprotkb:PTPDC1(gene name)|IntAct:PTPDC1(author assigned name)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Boldt K. et al.(2016)	intact:EBI-11659111|pubmed:27173435|imex:IM-25054	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12451797|imex:IM-25054-140	intact-miscore:0.51
uniprotkb:Q6ZW61	uniprotkb:Q96AC1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:Q14840|uniprotkb:Q86TY7|ensembl:ENSP00000340391.3|ensembl:ENSP00000378993.2|uniprotkb:B5TJY2|intact:EBI-21355423|intact:EBI-4399465|uniprotkb:Q96AC1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)|IntAct:BBS12(author assigned name)	psi-mi:ferm2_human(display_short)|psi-mi:Fermitin family homolog 2(display_long)|uniprotkb:Fermt2(gene name)|uniprotkb:Pleckstrin homology domain-containing family C member 1(gene name synonym)|uniprotkb:Mitogen-inducible gene 2 protein(gene name synonym)|uniprotkb:Kindlin-2(gene name synonym)|uniprotkb:PLEKHC1(gene name synonym)|uniprotkb:MIG2(gene name synonym)|uniprotkb:KIND2(gene name synonym)|IntAct:FERMT2(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Boldt K. et al.(2016)	intact:EBI-11659111|pubmed:27173435|imex:IM-25054	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12449062|imex:IM-25054-9	intact-miscore:0.53
